sono proc con pid 1837, figlio di 1606, il mio liv: 0
sono proc con pid 1838, figlio di 1837, il mio liv: 1
sono proc con pid 1839, figlio di 1837, il mio liv: 1
sono proc con pid 1840, figlio di 1838, il mio liv: 2
sono proc con pid 1842, figlio di 1838, il mio liv: 2
sono proc con pid 1841, figlio di 1837, il mio liv: 1
sono proc con pid 1843, figlio di 1838, il mio liv: 2
sono proc con pid 1845, figlio di 1839, il mio liv: 2
sono proc con pid 1844, figlio di 1839, il mio liv: 2
sono proc con pid 1847, figlio di 1840, il mio liv: 3
sono proc con pid 1848, figlio di 1840, il mio liv: 3
sono proc con pid 1850, figlio di 1840, il mio liv: 3
sono proc con pid 1846, figlio di 1839, il mio liv: 2
sono proc con pid 1851, figlio di 1842, il mio liv: 3
sono proc con pid 1853, figlio di 1841, il mio liv: 2
sono proc con pid 1852, figlio di 1842, il mio liv: 3
sono proc con pid 1854, figlio di 1843, il mio liv: 3
sono proc con pid 1855, figlio di 1841, il mio liv: 2
sono proc con pid 1857, figlio di 1843, il mio liv: 3
sono proc con pid 1859, figlio di 1845, il mio liv: 3
sono proc con pid 1856, figlio di 1841, il mio liv: 2
sono proc con pid 1860, figlio di 1844, il mio liv: 3
sono proc con pid 1862, figlio di 1844, il mio liv: 3
sono proc con pid 1864, figlio di 1844, il mio liv: 3
sono proc con pid 1866, figlio di 1846, il mio liv: 3
sono proc con pid 1868, figlio di 1853, il mio liv: 3
sono proc con pid 1870, figlio di 1853, il mio liv: 3
sono proc con pid 1872, figlio di 1855, il mio liv: 3
sono proc con pid 1874, figlio di 1856, il mio liv: 3
sono proc con pid 1875, figlio di 1856, il mio liv: 3
sono proc con pid 1876, figlio di 1856, il mio liv: 3
sono proc con pid 1873, figlio di 1855, il mio liv: 3
sono proc con pid 1871, figlio di 1855, il mio liv: 3
sono proc con pid 1869, figlio di 1853, il mio liv: 3
sono proc con pid 1867, figlio di 1846, il mio liv: 3
sono proc con pid 1858, figlio di 1843, il mio liv: 3
sono proc con pid 1863, figlio di 1845, il mio liv: 3
