mio pid:1955, figlio di 1592, mio liv:0
mio pid:1956, figlio di 1, mio liv:1
mio pid:1960, figlio di 1, mio liv:2
mio pid:1962, figlio di 1, mio liv:2
mio pid:1957, figlio di 1, mio liv:1
mio pid:1959, figlio di 1, mio liv:1
mio pid:1961, figlio di 1, mio liv:1
mio pid:1966, figlio di 1, mio liv:3
mio pid:1969, figlio di 1, mio liv:3
mio pid:1971, figlio di 1, mio liv:3
mio pid:1972, figlio di 1963, mio liv:3
mio pid:1970, figlio di 1, mio liv:3
mio pid:1968, figlio di 1, mio liv:3
mio pid:1967, figlio di 1, mio liv:3
mio pid:1965, figlio di 1, mio liv:3
mio pid:1964, figlio di 1, mio liv:3
mio pid:1963, figlio di 1, mio liv:2
mio pid:1958, figlio di 1, mio liv:2
mio pid:1973, figlio di 1, mio liv:2
mio pid:1974, figlio di 1, mio liv:2
mio pid:1976, figlio di 1, mio liv:2
mio pid:1975, figlio di 1, mio liv:2
mio pid:1977, figlio di 1, mio liv:2
mio pid:1981, figlio di 1, mio liv:2
mio pid:1978, figlio di 1, mio liv:2
mio pid:1982, figlio di 1, mio liv:2
mio pid:1983, figlio di 1, mio liv:2
mio pid:1979, figlio di 1, mio liv:2
mio pid:1985, figlio di 1, mio liv:4
mio pid:1986, figlio di 1, mio liv:4
mio pid:1988, figlio di 1, mio liv:4
mio pid:1984, figlio di 1, mio liv:2
mio pid:1987, figlio di 1, mio liv:4
mio pid:1993, figlio di 1, mio liv:4
mio pid:1989, figlio di 1, mio liv:4
mio pid:1990, figlio di 1, mio liv:4
mio pid:1995, figlio di 1, mio liv:4
mio pid:1992, figlio di 1, mio liv:4
mio pid:1997, figlio di 1, mio liv:4
mio pid:1999, figlio di 1, mio liv:4
mio pid:2001, figlio di 1, mio liv:4
mio pid:2005, figlio di 1, mio liv:4
mio pid:2009, figlio di 1, mio liv:4
mio pid:2034, figlio di 1, mio liv:3
mio pid:2024, figlio di 1, mio liv:3
mio pid:2031, figlio di 1, mio liv:3
mio pid:2040, figlio di 1, mio liv:3
mio pid:2028, figlio di 1, mio liv:3
mio pid:2038, figlio di 1, mio liv:3
mio pid:2043, figlio di 1, mio liv:3
mio pid:2035, figlio di 1, mio liv:3
mio pid:2036, figlio di 1, mio liv:3
mio pid:2044, figlio di 1, mio liv:3
mio pid:2041, figlio di 1, mio liv:3
mio pid:2032, figlio di 1, mio liv:3
mio pid:2030, figlio di 1, mio liv:3
mio pid:2045, figlio di 1, mio liv:3
mio pid:2048, figlio di 1, mio liv:3
mio pid:2039, figlio di 1, mio liv:3
mio pid:2052, figlio di 1, mio liv:3
mio pid:2047, figlio di 1, mio liv:3
mio pid:2056, figlio di 1, mio liv:3
mio pid:2049, figlio di 1, mio liv:3
mio pid:2065, figlio di 1, mio liv:3
mio pid:2053, figlio di 1, mio liv:3
mio pid:2050, figlio di 1, mio liv:3
mio pid:2058, figlio di 1, mio liv:3
mio pid:2051, figlio di 1, mio liv:3
mio pid:2062, figlio di 1, mio liv:3
mio pid:2054, figlio di 1, mio liv:3
mio pid:2061, figlio di 1, mio liv:3
mio pid:2055, figlio di 1, mio liv:3
mio pid:2064, figlio di 1, mio liv:3
mio pid:2059, figlio di 1, mio liv:3
mio pid:2067, figlio di 1, mio liv:3
mio pid:2060, figlio di 1, mio liv:3
mio pid:2068, figlio di 1, mio liv:3
mio pid:2066, figlio di 1, mio liv:3
mio pid:2072, figlio di 1, mio liv:3
mio pid:2057, figlio di 1, mio liv:3
mio pid:2069, figlio di 1, mio liv:3
mio pid:2063, figlio di 1, mio liv:3
mio pid:2075, figlio di 1, mio liv:3
mio pid:2076, figlio di 1, mio liv:4
mio pid:2070, figlio di 1, mio liv:3
mio pid:2077, figlio di 1, mio liv:4
mio pid:2071, figlio di 1, mio liv:3
mio pid:2083, figlio di 1, mio liv:4
mio pid:2085, figlio di 1, mio liv:4
mio pid:2073, figlio di 1, mio liv:3
mio pid:2086, figlio di 1, mio liv:4
mio pid:2088, figlio di 1, mio liv:4
mio pid:2089, figlio di 1, mio liv:4
mio pid:2074, figlio di 1, mio liv:3
mio pid:2090, figlio di 1, mio liv:4
mio pid:2092, figlio di 1, mio liv:4
mio pid:2093, figlio di 1, mio liv:4
mio pid:2095, figlio di 1, mio liv:4
mio pid:2096, figlio di 1, mio liv:4
mio pid:2099, figlio di 1, mio liv:4
mio pid:2100, figlio di 1, mio liv:4
mio pid:2107, figlio di 1, mio liv:4
mio pid:2097, figlio di 1, mio liv:4
mio pid:2110, figlio di 1, mio liv:4
mio pid:2102, figlio di 1, mio liv:4
mio pid:2106, figlio di 1, mio liv:4
mio pid:2109, figlio di 1, mio liv:4
mio pid:2111, figlio di 1, mio liv:4
mio pid:2112, figlio di 1, mio liv:4
mio pid:2115, figlio di 1, mio liv:4
mio pid:2123, figlio di 1, mio liv:4
mio pid:2126, figlio di 1, mio liv:4
mio pid:2127, figlio di 1, mio liv:4
mio pid:2134, figlio di 1, mio liv:4
mio pid:2136, figlio di 1, mio liv:4
mio pid:2131, figlio di 1, mio liv:4
mio pid:2078, figlio di 1, mio liv:4
mio pid:2132, figlio di 1, mio liv:4
mio pid:2079, figlio di 1, mio liv:4
mio pid:2151, figlio di 1, mio liv:4
mio pid:2080, figlio di 1, mio liv:4
mio pid:2152, figlio di 1, mio liv:4
mio pid:2081, figlio di 1, mio liv:4
mio pid:2121, figlio di 1, mio liv:4
mio pid:2084, figlio di 1, mio liv:4
mio pid:2119, figlio di 1, mio liv:4
mio pid:2087, figlio di 1, mio liv:4
mio pid:2122, figlio di 1, mio liv:4
mio pid:2098, figlio di 1, mio liv:4
mio pid:2139, figlio di 1, mio liv:4
mio pid:2103, figlio di 1, mio liv:4
mio pid:2128, figlio di 1, mio liv:4
mio pid:2091, figlio di 1, mio liv:4
mio pid:2149, figlio di 1, mio liv:4
mio pid:2094, figlio di 1, mio liv:4
mio pid:2147, figlio di 1, mio liv:4
mio pid:2101, figlio di 1, mio liv:4
mio pid:2142, figlio di 1, mio liv:4
mio pid:2104, figlio di 1, mio liv:4
mio pid:2146, figlio di 1, mio liv:4
mio pid:2105, figlio di 1, mio liv:4
mio pid:2166, figlio di 1, mio liv:4
mio pid:2108, figlio di 1, mio liv:4
mio pid:2171, figlio di 1, mio liv:4
mio pid:2113, figlio di 1, mio liv:4
mio pid:2157, figlio di 1, mio liv:4
mio pid:2161, figlio di 1, mio liv:4
mio pid:2155, figlio di 1, mio liv:4
mio pid:2163, figlio di 1, mio liv:4
mio pid:2167, figlio di 1, mio liv:4
mio pid:2169, figlio di 1, mio liv:4
mio pid:2153, figlio di 1, mio liv:4
mio pid:2170, figlio di 1, mio liv:4
mio pid:2173, figlio di 1, mio liv:4
mio pid:2176, figlio di 1, mio liv:4
mio pid:2191, figlio di 1, mio liv:4
mio pid:2114, figlio di 1, mio liv:4
mio pid:2193, figlio di 1, mio liv:4
mio pid:2116, figlio di 1, mio liv:4
mio pid:2189, figlio di 1, mio liv:4
mio pid:2117, figlio di 1, mio liv:4
mio pid:2180, figlio di 1, mio liv:4
mio pid:2118, figlio di 1, mio liv:4
mio pid:2205, figlio di 1, mio liv:4
mio pid:2042, figlio di 1, mio liv:3
mio pid:2215, figlio di 1, mio liv:4
mio pid:2120, figlio di 1, mio liv:4
mio pid:2046, figlio di 1, mio liv:3
mio pid:2124, figlio di 1, mio liv:4
mio pid:2178, figlio di 1, mio liv:4
mio pid:2125, figlio di 1, mio liv:4
mio pid:2228, figlio di 1, mio liv:4
mio pid:2130, figlio di 1, mio liv:4
mio pid:2198, figlio di 1, mio liv:4
mio pid:2129, figlio di 1, mio liv:4
mio pid:2212, figlio di 1, mio liv:4
mio pid:2219, figlio di 1, mio liv:4
mio pid:2183, figlio di 1, mio liv:4
mio pid:2186, figlio di 1, mio liv:4
mio pid:2223, figlio di 1, mio liv:4
mio pid:2225, figlio di 1, mio liv:4
mio pid:2195, figlio di 1, mio liv:4
mio pid:2187, figlio di 1, mio liv:4
mio pid:2133, figlio di 1, mio liv:4
mio pid:2135, figlio di 1, mio liv:4
mio pid:2137, figlio di 1, mio liv:4
mio pid:2251, figlio di 1, mio liv:4
mio pid:2141, figlio di 1, mio liv:4
mio pid:2214, figlio di 1, mio liv:4
mio pid:2140, figlio di 1, mio liv:4
mio pid:2156, figlio di 1, mio liv:4
mio pid:2206, figlio di 1, mio liv:4
mio pid:2143, figlio di 1, mio liv:4
mio pid:2209, figlio di 1, mio liv:4
mio pid:2144, figlio di 1, mio liv:4
mio pid:2230, figlio di 1, mio liv:4
mio pid:2150, figlio di 1, mio liv:4
mio pid:2238, figlio di 1, mio liv:4
mio pid:2148, figlio di 1, mio liv:4
mio pid:2199, figlio di 1, mio liv:4
mio pid:2154, figlio di 1, mio liv:4
mio pid:2201, figlio di 1, mio liv:4
mio pid:2159, figlio di 1, mio liv:4
mio pid:2246, figlio di 1, mio liv:4
mio pid:2160, figlio di 1, mio liv:4
mio pid:2239, figlio di 1, mio liv:4
mio pid:2145, figlio di 1, mio liv:4
mio pid:2244, figlio di 1, mio liv:4
mio pid:2158, figlio di 1, mio liv:4
mio pid:2165, figlio di 1, mio liv:4
mio pid:2222, figlio di 1, mio liv:4
mio pid:2162, figlio di 1, mio liv:4
mio pid:2245, figlio di 1, mio liv:4
mio pid:2164, figlio di 1, mio liv:4
mio pid:2264, figlio di 1, mio liv:4
mio pid:2168, figlio di 1, mio liv:4
mio pid:2261, figlio di 1, mio liv:4
mio pid:2174, figlio di 1, mio liv:4
mio pid:2253, figlio di 1, mio liv:4
mio pid:2172, figlio di 1, mio liv:4
mio pid:2272, figlio di 1, mio liv:4
mio pid:2175, figlio di 1, mio liv:4
mio pid:2276, figlio di 1, mio liv:4
mio pid:2177, figlio di 1, mio liv:4
mio pid:2268, figlio di 1, mio liv:4
mio pid:2181, figlio di 1, mio liv:4
mio pid:2269, figlio di 1, mio liv:4
mio pid:2188, figlio di 1, mio liv:4
mio pid:2185, figlio di 1, mio liv:4
mio pid:2270, figlio di 1, mio liv:4
mio pid:2203, figlio di 1, mio liv:4
mio pid:2255, figlio di 1, mio liv:4
mio pid:2179, figlio di 1, mio liv:4
mio pid:2259, figlio di 1, mio liv:4
mio pid:2235, figlio di 1, mio liv:4
mio pid:2210, figlio di 1, mio liv:4
mio pid:2262, figlio di 1, mio liv:4
mio pid:2220, figlio di 1, mio liv:4
mio pid:2277, figlio di 1, mio liv:4
mio pid:2194, figlio di 1, mio liv:4
mio pid:2280, figlio di 1, mio liv:4
mio pid:2184, figlio di 1, mio liv:4
mio pid:2278, figlio di 1, mio liv:4
mio pid:2182, figlio di 1, mio liv:4
mio pid:2286, figlio di 1, mio liv:4
mio pid:2292, figlio di 1, mio liv:4
mio pid:2287, figlio di 1, mio liv:4
mio pid:2218, figlio di 1, mio liv:4
mio pid:2289, figlio di 1, mio liv:4
mio pid:2227, figlio di 1, mio liv:4
mio pid:2208, figlio di 1, mio liv:4
mio pid:2290, figlio di 1, mio liv:4
mio pid:2197, figlio di 1, mio liv:4
mio pid:2293, figlio di 1, mio liv:4
mio pid:2200, figlio di 1, mio liv:4
mio pid:2294, figlio di 1, mio liv:4
mio pid:2204, figlio di 1, mio liv:4
mio pid:2295, figlio di 1, mio liv:4
mio pid:2221, figlio di 1, mio liv:4
mio pid:2271, figlio di 1, mio liv:4
mio pid:2260, figlio di 1, mio liv:4
mio pid:2249, figlio di 1, mio liv:4
mio pid:2263, figlio di 1, mio liv:4
mio pid:2196, figlio di 1, mio liv:4
mio pid:2265, figlio di 1, mio liv:4
mio pid:2242, figlio di 1, mio liv:4
mio pid:2248, figlio di 1, mio liv:4
mio pid:2273, figlio di 1, mio liv:4
mio pid:2213, figlio di 1, mio liv:4
mio pid:2281, figlio di 1, mio liv:4
mio pid:2216, figlio di 1, mio liv:4
mio pid:2279, figlio di 1, mio liv:4
mio pid:2224, figlio di 1, mio liv:4
mio pid:2275, figlio di 1, mio liv:4
